event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:sat-id,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:transmission-timestamp,argos:valid-location-algorithm,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17136255531,true,2009-07-23 15:38:57.000,-139.08451,69.62499,,0.113,-130.0,4.016774738E8,301.0,249,"11",69.62499,64.3038,"2",-139.08451,-110.79664,7,0,3,92.0,372.0,"NL",1068.0,84.0,27,4,276,2009-07-23 15:42:03.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136255603,true,2009-07-24 15:23:42.000,-139.0464,69.60369,,0.084,-129.0,4.016774532E8,210.0,438,"11",69.60369,82.1422,"3",-139.0464,152.9203,7,0,3,96.0,434.0,"NN",995.0,44.0,30,4,276,2009-07-24 15:28:22.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264387,true,2009-07-25 15:13:07.000,-139.12102,69.58893,,0.154,-127.0,4.016774912E8,441.0,300,"11",69.58893,81.28254,"2",-139.12102,158.39829,8,0,3,96.0,434.0,"NN",1655.0,117.0,12,3,372,2009-07-25 15:10:32.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136254219,true,2009-07-26 15:02:31.000,-139.0555,69.59419,,0.064,-130.0,4.016774948E8,434.0,291,"11",69.59419,61.69443,"2",-139.0555,-96.8134,7,0,3,95.0,434.0,"NL",1499.0,125.0,17,4,268,2009-07-26 15:02:01.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136257851,true,2009-07-27 16:10:58.000,-139.08519,69.62269,,0.131,-129.0,4.016774648E8,493.0,1028,"11",69.62269,53.47393,"2",-139.08519,-39.18902,7,0,4,101.0,372.0,"MA",2843.0,85.0,28,4,292,2009-07-27 16:09:57.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136265256,true,2009-07-28 14:41:20.000,-139.05034,69.60205,,0.079,-125.0,4.016774975E8,452.0,217,"11",69.60205,78.80163,"2",-139.05034,172.92082,12,0,3,99.0,682.0,"NN",1445.0,141.0,16,1,516,2009-07-28 14:43:55.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264802,true,2009-07-29 14:31:15.000,-139.1022,69.60075,,0.154,-127.0,4.016774934E8,222.0,488,"11",69.60075,78.01293,"3",-139.1022,176.39812,10,0,4,96.0,558.0,"NN",1296.0,38.0,15,3,392,2009-07-29 14:33:19.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136255550,true,2009-07-30 15:59:51.000,-139.12599,69.61534,,0.148,-131.0,4.016774459E8,417.0,457,"11",69.61534,85.03386,"2",-139.12599,131.38011,7,0,4,105.0,372.0,"NN",1670.0,104.0,31,4,276,2009-07-30 16:02:58.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136263285,true,2009-07-31 16:02:11.000,-139.04689,69.59613,,0.063,-125.0,4.016774971E8,477.0,453,"11",69.59613,71.16874,"2",-139.04689,-147.88539,10,0,4,102.0,558.0,"NK",4672.0,48.0,14,3,344,2009-07-31 16:00:38.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136256672,true,2009-08-01 14:01:01.000,-139.04879,69.59641,,0.068,-128.0,4.016774993E8,229.0,473,"11",69.59641,75.48628,"3",-139.04879,-170.55491,5,0,3,86.0,310.0,"NN",510.0,103.0,12,4,284,2009-08-01 14:04:38.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
